Date, Category
2024-01-15,small
2024-01-16,medium
2024-01-20,small
2024-01-23,small
2024-01-23,medium
2024-01-29,small
2024-02-01,medium
2024-02-03,small
2024-02-04,small
2024-02-10,small
2024-02-10,medium
2024-02-11,small
2024-02-14,small
2024-02-15,small
2024-02-16,small
2024-02-18,small
2024-02-21,small
2024-02-22,small
2024-02-23,medium
2024-02-25,small
2024-03-02,small
2024-03-02,large
2024-03-05,small
2024-03-11,small
2024-03-14,small
2024-03-15,medium
2024-03-25,small
2024-03-26,small
2024-03-31,medium
2024-04-02,small
